"time","tavg","tmin","tmax","prcp","wdir","wspd","pres","year","Month","temperature_category","tavgnorm","tavg_z_score_norm","precipitation"
2019-07-21,32.3,"28.3","36.7",0,"263","22.3",1006,"2019","July","Warm",1,2.17084158209958,"No"
2018-08-29,31.8,"27.2","36.7",0,"242","18.4",1013,"2018","August","Warm",0.99001996007984,2.11854025380895,"No"
2021-06-29,31.5,"26.1","37.2",0,"253","16.9",1019.2,"2021","June","Warm",0.984031936127745,2.08715945683457,"No"
2019-07-20,31.4,"26.7","36.1",0,"245","15.8",1007.6,"2019","July","Warm",0.982035928143713,2.07669919117645,"No"
2021-06-30,31,"22.2","37.8",4.1,"237","15.8",1013.6,"2021","June","Warm",0.974051896207585,2.03485812854395,"Yes"
2013-07-20,30.9,"26.1","35.6",0,"251","20.5",1005.9,"2013","July","Warm",0.972055888223553,2.02439786288582,"No"
2022-07-24,30.6,"22.2","37.8",0,"215","21.2",1013.3,"2022","July","Warm",0.966067864271457,1.99301706591144,"No"
2013-07-19,30.5,"25.6","37.2",0,"231","24.1",1009.9,"2013","July","Warm",0.964071856287425,1.98255680025332,"No"
2020-07-28,30.3,"25.6","35",0,"259","18.7",1006.5,"2020","July","Warm",0.960079840319361,1.96163626893707,"No"
2018-08-07,30.2,"25","35",0,"223","18.7",1013.2,"2018","August","Warm",0.95808383233533,1.95117600327894,"No"
2013-07-05,29.9,"26.1","35",0,"241","20.2",1019.1,"2013","July","Warm",0.952095808383234,1.91979520630457,"No"
2016-08-12,29.9,"25.6","36.7",0.3,"239","21.2",1010.2,"2016","August","Warm",0.952095808383234,1.91979520630457,"Yes"
2013-07-06,29.8,"26.1","33.9",0,"270","18.4",1016.8,"2013","July","Warm",0.950099800399202,1.90933494064644,"No"
2020-07-27,29.8,"23.9","35",0,"254","18.4",1006.9,"2020","July","Warm",0.950099800399202,1.90933494064644,"No"
2022-08-07,29.8,"25","36.7",0.8,"232","24.5",1018.1,"2022","August","Warm",0.950099800399202,1.90933494064644,"Yes"
2022-08-08,29.7,"25.6","36.7",0,"227","23.8",1013.3,"2022","August","Warm",0.94810379241517,1.89887467498832,"No"
2022-08-09,29.7,"18.9","36.7",3.6,"252","19.1",1011.2,"2022","August","Warm",0.94810379241517,1.89887467498832,"Yes"
2021-06-07,29.6,"22.8","35.6",0,"222","19.8",1016.2,"2021","June","Warm",0.946107784431138,1.88841440933019,"No"
2018-08-28,29.5,"23.9","36.1",0,"234","17.6",1014.5,"2018","August","Warm",0.944111776447106,1.87795414367206,"No"
2021-06-28,29.4,"23.9","36.1",0,"230","22.7",1019.8,"2021","June","Warm",0.942115768463074,1.86749387801394,"No"
2017-06-13,29.3,"22.2","35",13.5,"256","16.9",1009.8,"2017","June","Warm",0.940119760479042,1.85703361235581,"Yes"
2021-06-06,29.3,"21.1","34.4",0,"254","16.2",1014.3,"2021","June","Warm",0.940119760479042,1.85703361235581,"No"
2021-08-14,29.3,"25.6","33.3",0.3,"264","15.5",1015.7,"2021","August","Warm",0.940119760479042,1.85703361235581,"Yes"
2021-08-26,29.3,"23.9","35.6",0,"222","11.2",1017.7,"2021","August","Warm",0.940119760479042,1.85703361235581,"No"
2019-07-30,29.2,"23.3","35.6",0,"194","14",1014.5,"2019","July","Warm",0.93812375249501,1.84657334669769,"No"
2022-07-25,29.2,"25","32.2",0,"226","21.6",1009.7,"2022","July","Warm",0.93812375249501,1.84657334669769,"No"
2018-07-03,29.1,"22.8","36.7",0.3,"217","15.1",1020.2,"2018","July","Warm",0.936127744510978,1.83611308103956,"Yes"
2021-08-12,29.1,"24.4","35.6",0,"231","15.5",1013.2,"2021","August","Warm",0.936127744510978,1.83611308103956,"No"
2021-08-25,29,"24.4","34.4",0,"301","9.4",1017.5,"2021","August","Warm",0.934131736526946,1.82565281538144,"No"
2016-07-26,28.9,"24.4","34.4",0,"298","20.2",1008.6,"2016","July","Warm",0.932135728542914,1.81519254972331,"No"
2017-06-12,28.9,"21.7","35",0,"246","17.6",1012.5,"2017","June","Warm",0.932135728542914,1.81519254972331,"No"
2018-07-04,28.9,"22.8","30.6",0,"62","10.1",1025,"2018","July","Warm",0.932135728542914,1.81519254972331,"No"
2018-08-02,28.9,"24.4","35",0,"225","21.2",1017.2,"2018","August","Warm",0.932135728542914,1.81519254972331,"No"
2018-08-06,28.9,"22.8","35.6",0,"230","13",1016.6,"2018","August","Warm",0.932135728542914,1.81519254972331,"No"
2018-08-16,28.9,"23.9","32.8",0,"283","14.8",1014.7,"2018","August","Warm",0.932135728542914,1.81519254972331,"No"
2019-07-29,28.9,"23.9","33.9",0.3,"239","15.8",1013.8,"2019","July","Warm",0.932135728542914,1.81519254972331,"Yes"
2022-07-20,28.9,"24.4","33.3",0,"226","14.8",1006,"2022","July","Warm",0.932135728542914,1.81519254972331,"No"
2022-07-23,28.9,"24.4","34.4",0,"207","13.7",1014.1,"2022","July","Warm",0.932135728542914,1.81519254972331,"No"
2016-07-16,28.8,"23.9","34.4",0,"261","13.7",1015,"2016","July","Warm",0.930139720558882,1.80473228406519,"No"
2021-06-08,28.8,"23.9","35",0,"242","15.1",1015.4,"2021","June","Warm",0.930139720558882,1.80473228406519,"No"
2013-05-31,28.7,"22.2","34.4",0,"262","17.6",1016.4,"2013","May","Warm",0.92814371257485,1.79427201840706,"No"
2016-07-22,28.7,"22.8","36.7",0,"232","27.7",1009.7,"2016","July","Warm",0.92814371257485,1.79427201840706,"No"
2017-05-18,28.7,"21.7","35",1.3,"247","23.8",1009.6,"2017","May","Warm",0.92814371257485,1.79427201840706,"Yes"
2017-07-20,28.7,"21.7","33.3",0,"276","12.2",1012.2,"2017","July","Warm",0.92814371257485,1.79427201840706,"No"
2018-07-05,28.7,"23.3","34.4",0,"208","18.7",1022.9,"2018","July","Warm",0.92814371257485,1.79427201840706,"No"
2022-07-22,28.7,"22.8","34.4",0,"243","15.5",1009.6,"2022","July","Warm",0.92814371257485,1.79427201840706,"No"
2015-07-30,28.6,"23.3","32.8",0.5,"225","23",1010.1,"2015","July","Warm",0.926147704590819,1.78381175274894,"Yes"
2016-08-11,28.6,"23.9","35.6",0,"242","15.8",1015.9,"2016","August","Warm",0.926147704590819,1.78381175274894,"No"
2021-08-13,28.6,"24.4","32.8",0,"166","11.5",1015.3,"2021","August","Warm",0.926147704590819,1.78381175274894,"No"
2021-08-27,28.6,"23.3","32.2",0,"36","13.7",1018.2,"2021","August","Warm",0.926147704590819,1.78381175274894,"No"
2013-07-07,28.5,"23.9","33.9",0,"264","12.2",1015,"2013","July","Warm",0.924151696606786,1.77335148709081,"No"
2020-07-21,28.5,"23.3","32.2",0,"282","16.6",1014.2,"2020","July","Warm",0.924151696606786,1.77335148709081,"No"
2013-07-04,28.4,"23.9","34.4",0,"244","19.4",1020.8,"2013","July","Warm",0.922155688622755,1.76289122143268,"No"
2015-07-20,28.3,"21.1","33.3",0,"Unknown","14.8",1004.4,"2015","July","Warm",0.920159680638723,1.75243095577456,"No"
2018-08-30,28.3,"21.7","33.3",0,"335","18",1015.6,"2018","August","Warm",0.920159680638723,1.75243095577456,"No"
2019-07-14,28.3,"23.3","32.8",0,"273","16.9",1010.9,"2019","July","Warm",0.920159680638723,1.75243095577456,"No"
2020-08-03,28.3,"22.8","33.3",0,"242","20.5",1013.4,"2020","August","Warm",0.920159680638723,1.75243095577456,"No"
2022-07-21,28.3,"21.7","34.4",0,"189","20.5",1004.4,"2022","July","Warm",0.920159680638723,1.75243095577456,"No"
2013-07-16,28.2,"23.9","33.9",0.3,"Unknown","10.4",1020.15,"2013","July","Warm",0.918163672654691,1.74197069011643,"Yes"
2016-08-15,28.2,"22.8","32.2",0,"285","14.8",1018.8,"2016","August","Warm",0.918163672654691,1.74197069011643,"No"
2018-09-04,28.2,"22.8","30.6",0,"71","15.5",1022.2,"2018","September","Warm",0.918163672654691,1.74197069011643,"No"
2019-07-17,28.2,"23.3","33.3",10.9,"234","16.6",1012.5,"2019","July","Warm",0.918163672654691,1.74197069011643,"Yes"
2020-08-11,28.2,"22.8","34.4",0,"205","17.6",1013.6,"2020","August","Warm",0.918163672654691,1.74197069011643,"No"
2016-07-23,28.1,"22.2","34.4",0,"267","17.3",1007.3,"2016","July","Warm",0.916167664670659,1.73151042445831,"No"
2018-08-03,28.1,"25","32.8",1.5,"218","16.9",1020,"2018","August","Warm",0.916167664670659,1.73151042445831,"Yes"
2022-08-06,28.1,"22.8","36.1",0,"193","15.5",1021.1,"2022","August","Warm",0.916167664670659,1.73151042445831,"No"
2013-06-24,28,"21.1","35",8.4,"256","18.4",1014.1,"2013","June","Warm",0.914171656686627,1.72105015880018,"Yes"
2018-07-01,28,"21.1","33.3",0,"129","13",1015.7,"2018","July","Warm",0.914171656686627,1.72105015880018,"No"
2013-06-01,27.9,"21.1","33.3",0,"Unknown","21.6",1013.2,"2013","June","Warm",0.912175648702595,1.71058989314206,"No"
2013-07-18,27.9,"24.4","32.8",0,"147","16.6",1015.1,"2013","July","Warm",0.912175648702595,1.71058989314206,"No"
2019-07-31,27.9,"21.7","34.4",31.8,"220","15.8",1015.5,"2019","July","Warm",0.912175648702595,1.71058989314206,"Yes"
2020-07-19,27.9,"21.1","35",0,"210","18.7",1012,"2020","July","Warm",0.912175648702595,1.71058989314206,"No"
2020-07-20,27.9,"23.9","33.9",0,"244","20.9",1009,"2020","July","Warm",0.912175648702595,1.71058989314206,"No"
2019-07-06,27.8,"23.9","35",34.8,"236","18.4",1011.9,"2019","July","Warm",0.910179640718563,1.70012962748393,"Yes"
2016-07-28,27.6,"22.8","33.3",0,"221","11.5",1011.65,"2016","July","Warm",0.906187624750499,1.67920909616768,"No"
2019-08-19,27.6,"23.3","35",0.3,"228","18.4",1013.7,"2019","August","Warm",0.906187624750499,1.67920909616768,"Yes"
2022-07-29,27.6,"22.8","33.3",0,"246","16.9",1010.1,"2022","July","Warm",0.906187624750499,1.67920909616768,"No"
2018-06-30,27.5,"23.9","33.3",0,"197","12.2",1015.4,"2018","June","Warm",0.904191616766467,1.66874883050956,"No"
2018-09-03,27.5,"22.8","35.6",0,"234","16.9",1021.8,"2018","September","Warm",0.904191616766467,1.66874883050956,"No"
